account_rewards,date
8008.185315307579,2022-07-06
832.482838195865,2022-07-07
-3368.7775218315655,2022-07-08
-1993.4025683288928,2022-07-11
-15416.059281783993,2022-07-12
-4806.363569870009,2022-07-13
23396.393305767095,2022-07-14
8184.441661071847,2022-07-15
-8055.999518310651,2022-07-18
10152.665894172736,2022-07-19
-6321.269967269967,2022-07-20
8320.876766689355,2022-07-21
-2791.3527528914856,2022-07-22
-3069.489240573952,2022-07-25
3650.95159255981,2022-07-26
15474.800475463853,2022-07-27
10444.59020911029,2022-07-28
1886.4485030822689,2022-07-29
-565.8418693770654,2022-08-01
-4675.042925975868,2022-08-02
7366.435615211492,2022-08-03
-10827.931501495303,2022-08-04
9975.14497743221,2022-08-05
-8343.779711112962,2022-08-08
11683.761203193688,2022-08-09
3598.9842431984143,2022-08-10
-5698.226586563163,2022-08-11
7285.344920753501,2022-08-12
5132.068142715492,2022-08-15
930.4431445350638,2022-08-16
-98.66274974821135,2022-08-17
-2708.888421215117,2022-08-18
-11506.061154136667,2022-08-19
-7855.898999755853,2022-08-22
-3806.47341357416,2022-08-23
2263.729154655477,2022-08-24
7337.259081916767,2022-08-25
-33940.884386070305,2022-08-26
3059.443422550219,2022-08-29
-5690.4197425231105,2022-08-30
-13369.799873600015,2022-08-31
15289.799869865412,2022-09-01
-13091.133970214869,2022-09-02
-1931.7124507598346,2022-09-06
9264.14440970798,2022-09-07
10491.644007221214,2022-09-08
7940.98064339452,2022-09-09
-13924.530364990234,2022-09-12
-13451.178265594528,2022-09-13
-1329.877892002114,2022-09-14
-11209.700174331665,2022-09-15
752.9591941833496,2022-09-16
2206.236738281208,2022-09-19
-1295.129138732911,2022-09-20
-16768.223692415166,2022-09-21
-6777.469457132393,2022-09-22
-5115.661724090576,2022-09-23
2173.522102912888,2022-09-26
-13267.011492315214,2022-09-27
4025.053342868807,2022-09-28
-32107.84073899081,2022-09-29
-2945.7730067634257,2022-09-30
