date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-04-04,0,0,0,0,0,0,0,0,0,0,-100,0,0,2,0,0,-100,0,0,0,-100,0,0,2,68,100,0,100,100
2022-04-05,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,-100,0,0,0,-100,0,1,1,70,100,0,100,100
2022-04-06,0,0,0,0,0,0,0,0,0,0,-100,0,1,0,0,0,-100,0,0,0,-100,0,0,0,67,100,0,100,100
2022-04-07,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,-100,0,0,0,-100,0,1,0,64,100,0,100,100
2022-04-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-100,0,0,0,-100,0,0,1,9,100,0,100,100
2022-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,-100,0,0,2,7,100,0,100,100
2022-04-12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-100,0,0,0,-100,0,0,1,7,100,0,100,100
2022-04-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26,0,0,0,-22,0,0,0,0,0,0,62,100
2022-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-17,-400,0,-400,0,0,0,0,0,0,-400,0,-400,-2,-405,0,0,0,0,0,0,0,0,-403,-7,-292,-900,0,-1662,-800
2022-05-18,100,0,100,0,0,100,0,0,0,100,0,100,100,100,100,100,0,100,0,0,0,0,100,100,100,100,0,100,100
2022-05-19,-100,0,-100,0,0,-100,0,0,0,-100,0,-100,-100,-100,-100,-100,0,-100,0,0,0,0,-100,-100,-100,-100,0,-100,-100
2022-05-20,100,0,100,0,0,100,0,0,0,100,0,100,100,100,100,100,0,100,0,0,0,0,100,100,100,100,0,100,100
